N-gram Similarity,Levenshtein Similarity,Contract Address,File Path
85.71,80.95,0xd989b2df7d86613ea440ffa33394dc7ba48d6c31,smart-contract-sanctuary-ethereum/contracts/mainnet/d9/d989b2df7d86613ea440ffa33394dc7ba48d6c31_Crowdsale.sol
85.71,80.95,0x355cdaa4eba86ae8b1ba42b579f4c75dba36afb7,smart-contract-sanctuary-ethereum/contracts/mainnet/35/355cdaa4eba86ae8b1ba42b579f4c75dba36afb7_Crowdsale.sol
85.71,80.95,0x0a0e40db3bc35ea2242d4475a67454078f83a9bf,smart-contract-sanctuary-ethereum/contracts/mainnet/0a/0a0e40db3bc35ea2242d4475a67454078f83a9bf_Crowdsale.sol
85.71,80.95,0x0e29eaed3e3cfef358b1657b5573100dd4628a55,smart-contract-sanctuary-ethereum/contracts/mainnet/0e/0e29eaed3e3cfef358b1657b5573100dd4628a55_Crowdsale.sol
85.71,80.95,0x8df59ce1bdc4c60fa04cfed28d7d668f5a629aa3,smart-contract-sanctuary-ethereum/contracts/mainnet/8d/8df59ce1bdc4c60fa04cfed28d7d668f5a629aa3_Crowdsale.sol
85.71,80.95,0x1b91518648f8f153ce954a18d53bef5047e39c73,smart-contract-sanctuary-ethereum/contracts/mainnet/1b/1b91518648f8f153ce954a18d53bef5047e39c73_Crowdsale.sol
85.71,72.62,0xEbDed223B1dDb7420bB4C2fbF37CfCC4A17d42A5,smart-contract-sanctuary-ethereum/contracts/mainnet/eb/EbDed223B1dDb7420bB4C2fbF37CfCC4A17d42A5_MonkeyMonkey.sol
85.71,72.62,0x2c8F15751e60d208450b67403e314bbceE20E238,smart-contract-sanctuary-ethereum/contracts/mainnet/2c/2c8F15751e60d208450b67403e314bbceE20E238_MotokoIC.sol
85.71,72.62,0x1eb9465A277D7E4CDE88f280F4200448259e2AEE,smart-contract-sanctuary-ethereum/contracts/mainnet/1e/1eb9465A277D7E4CDE88f280F4200448259e2AEE_CryptoEarthPunks.sol
85.71,72.62,0x3Fe67E5359EA1cF5E389713c29ac0449d3776F9F,smart-contract-sanctuary-ethereum/contracts/mainnet/3f/3Fe67E5359EA1cF5E389713c29ac0449d3776F9F_StalliononMars.sol
85.71,72.62,0x004D52B08Fa30CDd968Daab02dB56f990560f893,smart-contract-sanctuary-ethereum/contracts/mainnet/00/004D52B08Fa30CDd968Daab02dB56f990560f893_amonguswtf.sol
85.71,72.62,0x46edCe6eaAF06cE4f1411c9058333a55Ec4389Cd,smart-contract-sanctuary-ethereum/contracts/mainnet/46/46edCe6eaAF06cE4f1411c9058333a55Ec4389Cd_Orbis86MintPassEdition1.sol
85.71,72.62,0x875Ebe2fd18B2BB93C3f584E8d6705AA467017b0,smart-contract-sanctuary-ethereum/contracts/mainnet/87/875Ebe2fd18B2BB93C3f584E8d6705AA467017b0_TestToken.sol
85.71,72.62,0x62D2D86B77b9467f127C87ead7fDDB12bcE034f2,smart-contract-sanctuary-ethereum/contracts/mainnet/62/62D2D86B77b9467f127C87ead7fDDB12bcE034f2_ToadzMfers.sol
85.71,72.62,0xDC0a5D7734c3c94Ba4D144bD828a4Ca2358bCDFc,smart-contract-sanctuary-ethereum/contracts/mainnet/dc/DC0a5D7734c3c94Ba4D144bD828a4Ca2358bCDFc_OmniEggs.sol
85.71,72.62,0xA5E5D3AEae2012B406Bc86bf19CDEc0B6056Ee8e,smart-contract-sanctuary-ethereum/contracts/mainnet/a5/A5E5D3AEae2012B406Bc86bf19CDEc0B6056Ee8e_nounocle.sol
85.71,72.62,0x18D29e63DFb6f86cb02637414CAc0408905f83A2,smart-contract-sanctuary-ethereum/contracts/mainnet/18/18D29e63DFb6f86cb02637414CAc0408905f83A2_ProofCollectiveFREEMINT.sol
85.71,72.62,0xD319e40b9447BbFB9720684F965bB64bbc52f24C,smart-contract-sanctuary-ethereum/contracts/mainnet/d3/D319e40b9447BbFB9720684F965bB64bbc52f24C_blonktrains.sol
85.71,72.62,0xeb8a769C63901a76C4BE445A54CFF6c64e09E2c7,smart-contract-sanctuary-ethereum/contracts/mainnet/eb/eb8a769C63901a76C4BE445A54CFF6c64e09E2c7_SydneySweeneyDAO.sol
85.71,72.62,0xa2e4862b600D45DF5A7EBb0460F1c07bD6333B44,smart-contract-sanctuary-ethereum/contracts/mainnet/a2/a2e4862b600D45DF5A7EBb0460F1c07bD6333B44_ToadzMfers.sol
85.71,72.62,0x4Afab80cbEd2734C835220d6cc43C52C791f96c8,smart-contract-sanctuary-ethereum/contracts/mainnet/4a/4Afab80cbEd2734C835220d6cc43C52C791f96c8_InvisibleDudesGenesis.sol
85.71,72.62,0xe8603B7eb2276B12716464094bf4BdBBCc2E1B6A,smart-contract-sanctuary-ethereum/contracts/mainnet/e8/e8603B7eb2276B12716464094bf4BdBBCc2E1B6A_InvisibleDudesGenesisCollection.sol
85.71,72.62,0xA9D8A89F82682BCd63544036417034924A29Ef6f,smart-contract-sanctuary-ethereum/contracts/mainnet/a9/A9D8A89F82682BCd63544036417034924A29Ef6f_nounocle.sol
85.71,72.62,0xb431B09d596e1b121d675bA39bB9afEEFA07942F,smart-contract-sanctuary-ethereum/contracts/mainnet/b4/b431B09d596e1b121d675bA39bB9afEEFA07942F_InvisibleDudesGenesis.sol
85.71,72.62,0x074C5Ac510e784361cFb7b3bef65B431C84d4132,smart-contract-sanctuary-ethereum/contracts/mainnet/07/074C5Ac510e784361cFb7b3bef65B431C84d4132_ORCTownRoad.sol
85.71,72.62,0x4dcFca707Cfee6bb735ae8954ecC41B4118FDa85,smart-contract-sanctuary-ethereum/contracts/mainnet/4d/4dcFca707Cfee6bb735ae8954ecC41B4118FDa85_undoxxed.sol
85.71,72.62,0x03D3d03F559cB0c17ea0A9fc92c9be3779C50fb2,smart-contract-sanctuary-ethereum/contracts/mainnet/03/03D3d03F559cB0c17ea0A9fc92c9be3779C50fb2_ArcadiaParkPerpetualAdmission.sol
85.71,72.62,0xb78A4a067a5D8727689E9aEad2b719272CE44fFd,smart-contract-sanctuary-ethereum/contracts/mainnet/b7/b78A4a067a5D8727689E9aEad2b719272CE44fFd_mfersnextera.sol
85.71,72.62,0x14Ad05193018a0227442cA8747CFc32e9b5A6197,smart-contract-sanctuary-ethereum/contracts/mainnet/14/14Ad05193018a0227442cA8747CFc32e9b5A6197_CrocodileTownNFT.sol
85.71,72.62,0x2d8beafb2540aebec72b924701c744447a6a9513,smart-contract-sanctuary-ethereum/contracts/mainnet/2d/2d8beafb2540aebec72b924701c744447a6a9513_APEGENSIS.sol
85.71,72.62,0x5B1e1358372d602F648D266eB74080B57fDc1172,smart-contract-sanctuary-ethereum/contracts/mainnet/5b/5B1e1358372d602F648D266eB74080B57fDc1172_Boonmirds2.sol
85.71,72.62,0xC5Cb90D52084789413b19116BE9e52C095B00209,smart-contract-sanctuary-ethereum/contracts/mainnet/c5/C5Cb90D52084789413b19116BE9e52C095B00209_PostdigitalMetafesto.sol
85.71,72.62,0x35420865D5f76f7949b2889eA14a017E1bA0F688,smart-contract-sanctuary-ethereum/contracts/mainnet/35/35420865D5f76f7949b2889eA14a017E1bA0F688_PixelBoredApes.sol
80.95,72.62,0x8fbb722702D12769DB29F4CC5e57405F814cD439,smart-contract-sanctuary-ethereum/contracts/mainnet/8f/8fbb722702D12769DB29F4CC5e57405F814cD439_Hexamoji.sol
80.95,72.62,0xB52B6b0b7aa68c8177fc550f1716F58dD30C3F51,smart-contract-sanctuary-ethereum/contracts/mainnet/b5/B52B6b0b7aa68c8177fc550f1716F58dD30C3F51_NotPostersCryptoPunksEdition.sol
80.95,72.62,0x1eE7d047FB6a06C8eB145145ACEF02f440738379,smart-contract-sanctuary-ethereum/contracts/mainnet/1e/1eE7d047FB6a06C8eB145145ACEF02f440738379_Lostmindcollection.sol
80.95,72.62,0x0751990f94cd5e74A0D07eBBac109774ceEb846e,smart-contract-sanctuary-ethereum/contracts/mainnet/07/0751990f94cd5e74A0D07eBBac109774ceEb846e_ApocalypticPunksUkraine.sol
71.43,74.15,0x6e97f48b5161959c87f27e8792322b0acfc78a85,smart-contract-sanctuary-ethereum/contracts/mainnet/6e/6e97f48b5161959c87f27e8792322b0acfc78a85_LiquidityIncome.sol
71.43,74.15,0x28832484e8124634a248f2bc520f26e8345a56cd,smart-contract-sanctuary-ethereum/contracts/mainnet/28/28832484e8124634a248f2bc520f26e8345a56cd_LiquidityIncome.sol
71.43,74.15,0xc082957bb1b8c2ba67cfad2d850f271a6261bf30,smart-contract-sanctuary-ethereum/contracts/mainnet/c0/c082957bb1b8c2ba67cfad2d850f271a6261bf30_LiquidityIncome.sol
71.43,74.15,0x375Da3e307Ef2E1A9D9e1516f80738Ca52cb7B85,smart-contract-sanctuary-ethereum/contracts/mainnet/37/375Da3e307Ef2E1A9D9e1516f80738Ca52cb7B85_LiquidityIncome.sol
