N-gram Similarity,Levenshtein Similarity,Contract Address,File Path
100.00,78.95,0x3c563651318b6b2cf555207a1e611bb577fff446,smart-contract-sanctuary-ethereum/contracts/mainnet/3c/3c563651318b6b2cf555207a1e611bb577fff446_Lotthereum.sol
100.00,78.95,0x5e6ed16d845a46b9f863a256e7a3194f2a9e8b5c,smart-contract-sanctuary-ethereum/contracts/mainnet/5e/5e6ed16d845a46b9f863a256e7a3194f2a9e8b5c_Lotthereum.sol
100.00,76.47,0x7827ddc523b6287e916c602ca6df57a5509500ce,smart-contract-sanctuary-ethereum/contracts/mainnet/78/7827ddc523b6287e916c602ca6df57a5509500ce_CoffeeWars.sol
100.00,70.59,0x59C7d29A2F6aa1C70f879f4760e5AC7a02D5f83f,smart-contract-sanctuary-ethereum/contracts/mainnet/59/59C7d29A2F6aa1C70f879f4760e5AC7a02D5f83f_ChromaFive.sol
100.00,70.59,0xd57245dAab885f52Da9A3F7b270453D4FC2cd285,smart-contract-sanctuary-ethereum/contracts/mainnet/d5/d57245dAab885f52Da9A3F7b270453D4FC2cd285_ChromaThree.sol
100.00,70.59,0x924bD347FcEf81c695f9799Cb11D46a2F94A7cf4,smart-contract-sanctuary-ethereum/contracts/mainnet/92/924bD347FcEf81c695f9799Cb11D46a2F94A7cf4_ChromaFour.sol
100.00,70.59,0xb130BBC0EaC3BAaDf89E6034ab263864A708F979,smart-contract-sanctuary-ethereum/contracts/mainnet/b1/b130BBC0EaC3BAaDf89E6034ab263864A708F979_ChromaOne.sol
100.00,70.59,0x3A777496005cc0402dcE44BB1667789eBDED1652,smart-contract-sanctuary-ethereum/contracts/mainnet/3a/3A777496005cc0402dcE44BB1667789eBDED1652_ChromaTwo.sol
100.00,88.24,0x1294db3B145eb077853dB6087EaeA30F3d3e9B97,smart-contract-sanctuary-ethereum/contracts/mainnet/12/1294db3B145eb077853dB6087EaeA30F3d3e9B97_LuckyRaffle.sol
100.00,88.24,0x14f03368B43E3a3D27d45F84FabD61Cc07EA5da3,smart-contract-sanctuary-ethereum/contracts/mainnet/14/14f03368B43E3a3D27d45F84FabD61Cc07EA5da3_LuckyManekiNFT.sol
100.00,88.24,0xAE83c95290559a7489AD7c1209F2979E2c477910,smart-contract-sanctuary-ethereum/contracts/mainnet/ae/AE83c95290559a7489AD7c1209F2979E2c477910_LuckyProvable.sol
100.00,70.59,0xbc62f20E9Dde272821AD92511FbE1C9E1325aDCe,smart-contract-sanctuary-ethereum/contracts/mainnet/bc/bc62f20E9Dde272821AD92511FbE1C9E1325aDCe_PandemicWarhols.sol
100.00,70.59,0x8B333EE34B692450D85580c8B33B48949e09a916,smart-contract-sanctuary-ethereum/contracts/mainnet/8b/8B333EE34B692450D85580c8B33B48949e09a916_FirstDerivative.sol
100.00,88.24,0xa13db2f412cef4b4186ed1d2d12c9ec16bde82f4,smart-contract-sanctuary-ethereum/contracts/mainnet/a1/a13db2f412cef4b4186ed1d2d12c9ec16bde82f4_GameV001.sol
100.00,76.47,0xC23Deb588d08933757328cEC550DB82d81dB978E,smart-contract-sanctuary-ethereum/contracts/mainnet/c2/C23Deb588d08933757328cEC550DB82d81dB978E_OilerOptionBaseFeeFactory.sol
100.00,76.47,0xf2c5E9D1F82F073d3a1D5a884C338da79e1d6e15,smart-contract-sanctuary-ethereum/contracts/mainnet/f2/f2c5E9D1F82F073d3a1D5a884C338da79e1d6e15_OilerOptionDifficultyFactory.sol
100.00,76.47,0x7262e9A60CcD8279F63a7cc0c53156597b4357C7,smart-contract-sanctuary-ethereum/contracts/mainnet/72/7262e9A60CcD8279F63a7cc0c53156597b4357C7_OilerOptionDifficultyFactory.sol
100.00,76.47,0x2B57E153fB1BFB9f321448d1FF74e06053a0CC52,smart-contract-sanctuary-ethereum/contracts/mainnet/2b/2B57E153fB1BFB9f321448d1FF74e06053a0CC52_OilerOptionDifficultyFactory.sol
100.00,76.47,0xbef0C3dC5eebfC5fE57e85F6721C052A53753d8C,smart-contract-sanctuary-ethereum/contracts/mainnet/be/bef0C3dC5eebfC5fE57e85F6721C052A53753d8C_Ninja.sol
