N-gram Similarity,Levenshtein Similarity,Contract Address,File Path
94.74,80.95,0x39C9d7bdA4CC033F9F85a70a78b11d1EE1d77364,smart-contract-sanctuary-ethereum/contracts/mainnet/39/39C9d7bdA4CC033F9F85a70a78b11d1EE1d77364_HYCOPayment.sol
92.11,75.61,0x7d12ef97d1536b07b86ec03ebcc4f87c132486cc,smart-contract-sanctuary-ethereum/contracts/mainnet/7d/7d12ef97d1536b07b86ec03ebcc4f87c132486cc_MetalootProject.sol
92.11,71.43,0x9b9d895f21fe0bff625ae6d9e563d965133a49a5,smart-contract-sanctuary-ethereum/contracts/mainnet/9b/9b9d895f21fe0bff625ae6d9e563d965133a49a5_NewTokenSale.sol
92.11,95.00,0x17571BEA9cbaBd3A6998575c59CE284eBF037CB2,smart-contract-sanctuary-ethereum/contracts/mainnet/17/17571BEA9cbaBd3A6998575c59CE284eBF037CB2_Bridge.sol
89.47,75.61,0xf26a035eb240de3624cf2d4071387e5be5f57f77,smart-contract-sanctuary-ethereum/contracts/mainnet/f2/f26a035eb240de3624cf2d4071387e5be5f57f77_TheArityNFT.sol
89.47,75.61,0x5298c6d5ac0f2964bbb27f496a8193ce78e8a8e6,smart-contract-sanctuary-ethereum/contracts/mainnet/52/5298c6d5ac0f2964bbb27f496a8193ce78e8a8e6_TheEnigma.sol
89.47,75.61,0xec9a83b15623b7789be643fccf69a1ca45262e36,smart-contract-sanctuary-ethereum/contracts/mainnet/ec/ec9a83b15623b7789be643fccf69a1ca45262e36_BattleDroidsNFT.sol
89.47,75.61,0xee2502e326a3c006e0a27573047735e57979ddbc,smart-contract-sanctuary-ethereum/contracts/mainnet/ee/ee2502e326a3c006e0a27573047735e57979ddbc_HazyHares.sol
89.47,83.33,0xbdb9b26636caab1c11aab60307d5c8c1e1904a48,smart-contract-sanctuary-ethereum/contracts/mainnet/bd/bdb9b26636caab1c11aab60307d5c8c1e1904a48_VIDNFT.sol
89.47,71.43,0x91684594108834B4c3CffC9913911c4dcb9c1f26,smart-contract-sanctuary-ethereum/contracts/mainnet/91/91684594108834B4c3CffC9913911c4dcb9c1f26_Astrada.sol
86.84,76.60,0x2c31DBd57a56D953bE4396C42089C95f5bBF603d,smart-contract-sanctuary-ethereum/contracts/mainnet/2c/2c31DBd57a56D953bE4396C42089C95f5bBF603d_Redenom.sol
86.84,75.61,0x08bEBEB5f042CCbaEb128582DA560cb25a5dB7e9,smart-contract-sanctuary-ethereum/contracts/mainnet/08/08bEBEB5f042CCbaEb128582DA560cb25a5dB7e9_TheWonderQuest.sol
86.84,75.00,0xA16AB7dC3C7dc55aA0a59726144dcc4Bc30822c7,smart-contract-sanctuary-ethereum/contracts/mainnet/a1/A16AB7dC3C7dc55aA0a59726144dcc4Bc30822c7_ChicADeeEggs.sol
86.84,90.00,0x96A0F13597D7DAB5952Cdcf8C8Ca09eAc97a0a75,smart-contract-sanctuary-ethereum/contracts/mainnet/96/96A0F13597D7DAB5952Cdcf8C8Ca09eAc97a0a75_InlineDatabase.sol
86.84,90.00,0x09eD6f016178cF5Aed0bda43A7131B775042a3c6,smart-contract-sanctuary-ethereum/contracts/mainnet/09/09eD6f016178cF5Aed0bda43A7131B775042a3c6_XIVDatabase.sol
86.84,90.00,0x013caeDB26581acc957941D1D1DfF5741873F149,smart-contract-sanctuary-ethereum/contracts/mainnet/01/013caeDB26581acc957941D1D1DfF5741873F149_MvM.sol
86.84,90.00,0x8cc5f66c75f08cd0ecd50128509c931f0ff7f8e8,smart-contract-sanctuary-ethereum/contracts/mainnet/8c/8cc5f66c75f08cd0ecd50128509c931f0ff7f8e8_OLWStaking.sol
86.84,90.00,0x4629a7fec60899868f5b97648e08183787fb187f,smart-contract-sanctuary-ethereum/contracts/mainnet/46/4629a7fec60899868f5b97648e08183787fb187f_OLWStaking.sol
86.84,80.95,0x5D5b9D1EbB54061B185D0fa5E854D9E73563f5F0,smart-contract-sanctuary-ethereum/contracts/mainnet/5d/5D5b9D1EbB54061B185D0fa5E854D9E73563f5F0_EditionsBurner.sol
86.84,73.17,0x1558cBC0d4373aDFfb02A87Ef4C042A2b7492adc,smart-contract-sanctuary-ethereum/contracts/mainnet/15/1558cBC0d4373aDFfb02A87Ef4C042A2b7492adc_ClaimGPC.sol
86.84,71.43,0x672C1f1C978b8FD1E9AE18e25D0E55176824989c,smart-contract-sanctuary-ethereum/contracts/mainnet/67/672C1f1C978b8FD1E9AE18e25D0E55176824989c_SpaceBoys.sol
84.21,75.61,0x805a8C1b85152726CD85282f7222C529e459DbbA,smart-contract-sanctuary-ethereum/contracts/mainnet/80/805a8C1b85152726CD85282f7222C529e459DbbA_RichKidz.sol
84.21,75.61,0x0e30a504ed0497aaf18c30bdf2fe6a9046ecb85f,smart-contract-sanctuary-ethereum/contracts/mainnet/0e/0e30a504ed0497aaf18c30bdf2fe6a9046ecb85f_ThePhotonProject.sol
84.21,77.50,0xe453684ea037bac8268b336841711a0d9ec10581,smart-contract-sanctuary-ethereum/contracts/mainnet/e4/e453684ea037bac8268b336841711a0d9ec10581_HatchDracoNFT.sol
84.21,82.50,0xd06fe63d90046048d44fe958495b3f69d4b1732a,smart-contract-sanctuary-ethereum/contracts/mainnet/d0/d06fe63d90046048d44fe958495b3f69d4b1732a_AtomicAntzNFTCollection.sol
